ID,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
3,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10121,"Horses; live, pure-bred breeding animals",1,No Quantity,0,nan,,,1733341.0,,527372494.0,,,6
4,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10129,"Horses; live, other than pure-bred breeding animals",5,Number of items,3293,nan,,,167967.0,,4944436.0,,,0
5,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10130,Asses; live,5,Number of items,13885,nan,,,14588.0,,84775.0,,,2
7,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10221,"Cattle; live, pure-bred breeding animals",5,Number of items,3535,nan,,,1515181.0,,4608745.0,,,0
8,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10229,"Cattle; live, other than pure-bred breeding animals",5,Number of items,16041,nan,,,3614870.0,,16164716.0,,,0
9,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10290,"Bovine animals; live, other than cattle and buffalo",5,Number of items,325,nan,,,202344.0,,651475.0,,,6
11,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10310,"Swine; live, pure-bred breeding animals",5,Number of items,364,nan,,,84182.0,,421383.0,,,0
12,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,89937,nan,,,2058529.0,,6215051.0,,,4
13,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",5,Number of items,473893,nan,,,42724600.0,,69154870.0,,,0
15,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10410,Sheep; live,5,Number of items,36,nan,,,3800.0,,188279.0,,,0
17,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",5,Number of items,52650005,nan,,,2905923.0,,51333534.0,,,0
18,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10512,"Poultry; live, turkeys, weighing not more than 185g",1,No Quantity,0,nan,,,740.0,,186069.0,,,6
19,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,10513,"Poultry; live, ducks, weighing not more than 185g",5,Number of items,5910,nan,,,568.0,,547604.0,,,0
