ID,PRC2017,PRC2016,REMARK
1,07101000,07101000,
2,07291100,07291100,
3,07291200,07291200,
4,07291300,07291300,
5,07291400,07291400,
6,07291500,07291500,
7,07291900,07291900,
8,08111133,08111133,
9,08111136,08111136,
10,08111150,08111150,
11,08111233,08111233,
12,08111236,08111236,
13,08111250,08111250,
14,08111290,08111290,
15,08112030,08112030,
16,08112050,08112050,
17,08113010,08113010,
18,08113030,08113030,
19,08114000,08114000,
20,08121150,08121150,
21,08121190,08121190,
22,08121210,08121210,
23,08121230,08121230,
24,08121250,08121250,
25,08121290,08121290,
26,08121300,08121300,
27,08122140,08122140,
28,08122160,08122160,
29,08122210,08122210,
30,08122230,08122230,
31,08122250,08122250,
32,08911100,08911100,
33,08911200,08911200,
34,08911900,08911900,
35,08931000,08931000,
36,08991000,08991000,
37,08992100,08992100,
38,08992200,08992200,
39,08992900,08992900,
40,100000Z1,100000Z1,
41,100000Z3,100000Z3,
42,10111140,10111140,
43,10111190,10111190,
44,10111230,10111230,
45,10111250,10111250,
46,10111290,10111290,
47,10111300,10111300,
48,10111400,10111400,
49,10111500,10111500,
50,10112000,10112000,
51,10113100,10113100,
52,10113230,10113230,
53,10113250,10113250,
54,10113290,10113290,
55,10113300,10113300,
56,10113400,10113400,
57,10113500,10113500,
58,10113910,10113910,
59,10113930,10113930,
60,10114100,10114100,
61,10114200,10114200,
62,10114300,10114300,
63,10114400,10114400,
64,10114500,10114500,
65,10115040,10115040,
66,10115060,10115060,
67,10115070,10115070,
68,10116030,10116030,
69,10116090,10116090,
70,101200Z1,101200Z1,
71,101200Z2,101200Z2,
72,10121010,10121010,
73,10121020,10121020,
74,10121030,10121030,
75,10121050,10121050,
76,10121060,10121060,
77,10121070,10121070,
78,10122013,10122013,
79,10122015,10122015,
80,10122017,10122017,
81,10122053,10122053,
82,10122055,10122055,
83,10122057,10122057,
84,10123000,10123000,
85,10125000,10125000,
86,10131120,10131120,
87,10131150,10131150,
88,10131180,10131180,
89,10131200,10131200,
90,10131300,10131300,
91,10131430,10131430,
92,10131460,10131460,
93,10131505,10131505,
94,10131515,10131515,
95,10131525,10131525,
96,10131535,10131535,
97,10131545,10131545,
98,10131555,10131555,
99,10131565,10131565,
100,10131575,10131575,
101,10131585,10131585,
102,10131595,10131595,
103,10131600,10131600,
104,10139100,10139100,
105,10201100,10201100,
106,10201200,10201200,
107,10201330,10201330,
108,10201360,10201360,
109,10201400,10201400,
110,10201500,10201500,
111,10201600,10201600,
112,10202100,10202100,
113,10202250,10202250,
114,10202350,10202350,
115,10202425,10202425,
116,10202455,10202455,
117,10202485,10202485,
118,10202510,10202510,
119,10202520,10202520,
120,10202530,10202530,
121,10202540,10202540,
122,10202550,10202550,
123,10202560,10202560,
124,10202570,10202570,
125,10202580,10202580,
126,10202590,10202590,
127,10202630,10202630,
128,10202660,10202660,
129,10203100,10203100,
130,10203250,10203250,
131,10203350,10203350,
132,10203400,10203400,
133,10204100,10204100,
