Order,Level,Code,Parent,Description,Unit,Description of unit,Production type,Description of production type,References to HS/CN
1718977,1,0710,,Mining of iron ores,,,,,
1718978,2,071010,0710,Iron ores,,,,,
1718979,3,07101000,071010,Iron ores and concentrates (excluding roasted iron pyrites),kg,DE: Kilogramm; EN: Kilogram; FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden; EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported; FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler.",2601[.11 + .12]
1718980,1,0729,,Mining of other non-ferrous metal ores,,,,,
1718981,2,072911,0729,Copper ores and concentrates,,,,,
1718982,3,07291100,072911,Copper ores and concentrates,kg,DE: Kilogramm; EN: Kilogram; FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden; EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported; FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler.",2603
1718983,2,072912,0729,Nickel ores and concentrates,,,,,
1718984,3,07291200,072912,Nickel ores and concentrates,kg,DE: Kilogramm; EN: Kilogram; FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden; EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported; FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler.",2604
1718985,2,072913,0729,Aluminium ores and concentrates,,,,,
1718986,3,07291300,072913,Aluminium ores and concentrates,kg,DE: Kilogramm; EN: Kilogram; FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden; EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported; FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler.",2606
1718987,2,072914,0729,Precious metal ores and concentrates,,,,,
1718988,3,07291400,072914,Precious metal ores and concentrates,kg,DE: Kilogramm; EN: Kilogram; FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden; EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported; FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler.",2616[.10 + .90]
1718989,2,072915,0729,"Lead, zinc and tin ores and concentrates",,,,,
1718990,3,07291500,072915,"Lead, zinc and tin ores and concentrates",kg,DE: Kilogramm; EN: Kilogram; FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden; EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported; FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler.",2607 + 2608 + 2609
1718991,2,072919,0729,Other non-ferrous metal ores and concentrates n.e.c.,,,,,
1718992,3,07291900,072919,Other non-ferrous metal ores and concentrates,kg,DE: Kilogramm; EN: Kilogram; FR: Kilogramme,S,"DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden; EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported; FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler.",2602 + 2605 + 2610 + 2611 + 2613[.10 + .90] + 2614 + 2615[.10 + .90] + 2617[.10 + .90]
1718993,1,0811,,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,,,
1718994,2,081111,0811,Marble and other calcareous ornamental or building stone,,,,,
1718995,3,08111133,081111,"Marble and travertine, crude or roughly trimmed",kg,DE: Kilogramm; EN: Kilogram; FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden; EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported; FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2515 11
1718996,3,08111136,081111,Marble and travertine merely cut into rectangular or square blocks or slabs,kg,DE: Kilogramm; EN: Kilogram; FR: Kilogramme,T,"DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden; EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported; FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.",2515 12
