ID,PRCCODE,Description,EXPQNT,EXPVAL,IMPQNT,IMPVAL,PRODQNT,PRODVAL,QNTUNIT,Region,TimePeriod,Dataset
1,07101000,Iron ores and concentrates (excluding roasted iron pyrites),2205400.0,673700.0,9128730900.0,699218450.0,0.0,0.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
2,07291100,Copper ores and concentrates,331300.0,1626820.0,36700.0,181670.0,0.0,0.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
3,07291200,Nickel ores and concentrates,4900.0,84000.0,28400.0,260580.0,0.0,0.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
4,07291300,Aluminium ores and concentrates,4494600.0,2076280.0,14029400.0,6217100.0,0.0,0.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
5,07291400,Precious metal ores and concentrates,88700.0,8291180.0,164200.0,349358550.0,0.0,0.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
6,07291500,"Lead, zinc and tin ores and concentrates",18005300.0,14782090.0,1260700.0,3518130.0,,,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
7,07291900,Other non-ferrous metal ores and concentrates,2027000.0,7969480.0,288907400.0,308762730.0,,,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
8,08111133,"Marble and travertine, crude or roughly trimmed",95000.0,142480.0,9012600.0,2196140.0,0.0,0.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
9,08111136,Marble and travertine merely cut into rectangular or square blocks or slabs,701400.0,267910.0,6184600.0,6083840.0,0.0,0.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
10,08111150,"Ecaussine and other calcareous monumental or building stone of an apparent specific gravity >= 2,5",37200.0,118010.0,14969600.0,5115550.0,0.0,0.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
11,08111233,"Granite, crude or roughly trimmed",72500.0,11270.0,2306513600.0,34935960.0,,,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
12,08111236,Granite merely cut into rectangular (including square) blocks or slabs,13843400.0,2472050.0,57084600.0,19553070.0,,,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
13,08111250,Sandstone,206500.0,83070.0,398534700.0,101542570.0,615830000.0,14534545.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
14,08111290,"Porphyry, basalt, quartzites and other monumental or building stone, crude, roughly trimmed or merely cut (excluding calcareous monumental or building stone of a gravity >= 2,5, granite and sandstone)",222500.0,292800.0,110336400.0,16122010.0,2484932000.0,49307037.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
15,08112030,Gypsum and anhydrite,9201600.0,2335220.0,1523565100.0,23515660.0,0.0,0.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
16,08112050,"Limestone flux, limestone and other calcareous stone used for the manufacture of lime or cement (excluding crushed limestone aggregate and calcareous dimension stone)",209182900.0,3857100.0,462832800.0,28777240.0,2362784000.0,23219684.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
17,08113010,Chalk,25151200.0,3099260.0,13216500.0,1753840.0,794828000.0,11767256.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
18,08113030,"Dolomite, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs (excluding calcined or sintered dolomite, agglomerated dolomite and broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)",273300.0,101730.0,241711500.0,9279320.0,,,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
19,08114000,"Slate, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs",68360300.0,1465700.0,77561700.0,21336560.0,,18630728.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
20,08121150,Silica sands (quartz sands or industrial sands),91001400.0,4581430.0,154051500.0,13671170.0,4490367000.0,93779872.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
21,08121190,"Construction sands such as clayey sands; kaolinic sands; feldspathic sands (excluding silica sands, metal bearing sands)",120425200.0,8371740.0,329975900.0,13169490.0,17267469000.0,281166231.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
22,08121210,"Gravel and pebbles of a kind used for concrete aggregates, for road metalling or for railway or other ballast; shingle and flint",2289171900.0,21856780.0,301945000.0,8131880.0,31355644000.0,449037836.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
23,08121230,"Crushed stone of a kind used for concrete aggregates, for road metalling or for railway or other ballast (excluding gravel, pebbles, shingle and flint)",4304570300.0,35914220.0,124425700.0,3530680.0,60255156000.0,772111513.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
24,08121250,"Granules, chippings and powder of marble",387000.0,52700.0,126492000.0,10156380.0,0.0,0.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
25,08121290,"Granules, chippings and powder of travertine, ecaussine, granite, porphyry, basalt, sandstone and other monumental stone",48290100.0,4964900.0,105788800.0,7069260.0,1627245000.0,26412447.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
26,08121300,"Mixtures of slag and similar industrial waste products, whether or not incorporating pebbles, gravel, shingle and flint for construction use",5100.0,5650.0,46500.0,12800.0,,,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
27,08122140,"Kaolin, not calcined",,,,,779629000.0,,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
28,08122160,Kaolinitic clays (ball and plastic clays),643779400.0,53001700.0,4533700.0,2267460.0,,,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
29,08122210,Bentonite,31920700.0,17202420.0,128865500.0,15272730.0,0.0,0.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
30,08122230,Fireclay,1203300.0,919720.0,6274900.0,2288600.0,,,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
31,08122250,"Common clays and shales for construction use (excluding bentonite, fireclay, expanded clays, kaolin and kaolinic clays); andalusite, kyanite and sillimanite; mullite; chamotte or dinas earths",101731100.0,14347710.0,171212300.0,36278320.0,312479000.0,1797712.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
32,08911100,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,233700.0,245420.0,558400.0,327040.0,0.0,0.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
33,08911200,Unroasted iron pyrites; crude or unrefined sulphur (including recovered sulphur),19709700.0,2550020.0,9381400.0,2291180.0,,,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
34,08911900,Other chemical and fertiliser minerals,50628600.0,31194130.0,81847200.0,31449120.0,495285610.0,35695302.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
35,08931000,"Salt (including denatured salt but excluding salt suitable for human consumption) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents",246790900.0,22960270.0,537541300.0,62634210.0,2427579000.0,116948225.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
36,08991000,Natural bitumen and natural asphalt; asphaltites and asphaltic rocks,47023900.0,2165610.0,572500.0,1241520.0,1642730000.0,100232699.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
37,08992100,"Precious and semi-precious stones (excluding industrial diamonds), unworked or simply sawn or roughly shaped",,1332789930.0,,1339460150.0,0.0,0.0,c/k,UnitedKingdom,YearOf2017,PRODCOM 2017
38,08992200,"Industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural corundum, natural garnet and other natural abrasives",1602600.0,9104430.0,14356300.0,10996530.0,0.0,0.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
39,08992900,Other minerals,23640500.0,27829240.0,349163900.0,93182520.0,101677000.0,38722666.0,kg,UnitedKingdom,YearOf2017,PRODCOM 2017
