ID,PRCCODE,Description,EXPQNT,EXPVAL,IMPQNT,IMPVAL,PRODQNT,PRODVAL,QNTUNIT
1,07101000,Iron ores and concentrates (excluding roasted iron pyrites),2922200.0,926950.0,8898295300.0,662935000.0,0.0,0.0,kg
2,07291100,Copper ores and concentrates,2442100.0,11753520.0,392400.0,1078390.0,0.0,0.0,kg
3,07291200,Nickel ores and concentrates,0.0,22580.0,0.0,2750.0,0.0,0.0,kg
4,07291300,Aluminium ores and concentrates,5183700.0,2815740.0,33815500.0,11809150.0,0.0,0.0,kg
5,07291400,Precious metal ores and concentrates,3782300.0,29549370.0,169200.0,304384390.0,0.0,0.0,kg
6,07291500,"Lead, zinc and tin ores and concentrates",25030100.0,17432690.0,1331000.0,3322730.0,,,kg
7,07291900,Other non-ferrous metal ores and concentrates,2173400.0,6684430.0,334113900.0,379304020.0,,,kg
8,08111133,"Marble and travertine, crude or roughly trimmed",107200.0,84980.0,510500.0,372840.0,0.0,0.0,kg
9,08111136,Marble and travertine merely cut into rectangular or square blocks or slabs,886000.0,333470.0,7258500.0,7010500.0,0.0,0.0,kg
10,08111150,"Ecaussine and other calcareous monumental or building stone of an apparent specific gravity >= 2,5",226100.0,526290.0,25582200.0,10601930.0,,,kg
11,08111233,"Granite, crude or roughly trimmed",711600.0,95620.0,2882984400.0,41084480.0,,,kg
12,08111236,Granite merely cut into rectangular (including square) blocks or slabs,11993000.0,2573010.0,70490800.0,23456720.0,,1427586.0,kg
13,08111250,Sandstone,669200.0,325180.0,421809300.0,99425230.0,605473000.0,16268608.0,kg
14,08111290,"Porphyry, basalt, quartzites and other monumental or building stone, crude, roughly trimmed or merely cut (excluding calcareous monumental or building stone of a gravity >= 2,5, granite and sandstone)",665600.0,928170.0,247118400.0,13584160.0,2577893000.0,42802726.0,kg
15,08112030,Gypsum and anhydrite,13666000.0,2886120.0,1506932700.0,23352820.0,0.0,0.0,kg
16,08112050,"Limestone flux, limestone and other calcareous stone used for the manufacture of lime or cement (excluding crushed limestone aggregate and calcareous dimension stone)",193333200.0,3354820.0,315851100.0,22233970.0,3370307000.0,30389619.0,kg
17,08113010,Chalk,25787200.0,3228520.0,9482800.0,3553860.0,891645000.0,,kg
18,08113030,"Dolomite, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs (excluding calcined or sintered dolomite, agglomerated dolomite and broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)",298600.0,123990.0,243133800.0,10643570.0,,,kg
19,08114000,"Slate, crude, roughly trimmed or merely cut into rectangular or square blocks or slabs",101972000.0,2777940.0,49416100.0,16811540.0,41719000.0,46254705.0,kg
20,08121150,Silica sands (quartz sands or industrial sands),83315100.0,4468290.0,139980200.0,11913750.0,4791313000.0,99659776.0,kg
23,08121230,"Crushed stone of a kind used for concrete aggregates, for road metalling or for railway or other ballast (excluding gravel, pebbles, shingle and flint)",4368608800.0,37703780.0,62602700.0,2662850.0,68391115000.0,913326401.0,kg
24,08121250,"Granules, chippings and powder of marble",657100.0,116000.0,132420800.0,10419080.0,0.0,0.0,kg
25,08121290,"Granules, chippings and powder of travertine, ecaussine, granite, porphyry, basalt, sandstone and other monumental stone",49817900.0,5434950.0,75053100.0,6324810.0,1331436000.0,26184852.0,kg
26,08121300,"Mixtures of slag and similar industrial waste products, whether or not incorporating pebbles, gravel, shingle and flint for construction use",74600.0,23840.0,707700.0,102710.0,,,kg
27,08122140,"Kaolin, not calcined",,,,,0.0,,kg
28,08122160,Kaolinitic clays (ball and plastic clays),656939800.0,54336930.0,4587600.0,2059640.0,,,kg
29,08122210,Bentonite,30500800.0,24029180.0,142664700.0,16706810.0,0.0,0.0,kg
30,08122230,Fireclay,1414500.0,1093080.0,4970400.0,1882940.0,,,kg
