"Order","Level","Code","Parent","Description","Unit","Description of unit","Production type","Description of production type","References to HS/CN"
"1718977","1","07.10",,"Mining of iron ores",,,,,
"1718978","2","07.10.10","07.10","Iron ores",,,,,
"1718979","3","07.10.10.00","07.10.10","Iron ores and concentrates (excluding roasted iron pyrites)","kg","DE: Kilogramm; EN: Kilogram; FR: Kilogramme","S","DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden; EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported; FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler.","2601[.11 + .12]"
"1718980","1","07.29",,"Mining of other non-ferrous metal ores",,,,,
"1718981","2","07.29.11","07.29","Copper ores and concentrates",,,,,
"1718982","3","07.29.11.00","07.29.11","Copper ores and concentrates","kg","DE: Kilogramm; EN: Kilogram; FR: Kilogramme","S","DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden; EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported; FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler.","2603"
"1718983","2","07.29.12","07.29","Nickel ores and concentrates",,,,,
"1718984","3","07.29.12.00","07.29.12","Nickel ores and concentrates","kg","DE: Kilogramm; EN: Kilogram; FR: Kilogramme","S","DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden; EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported; FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler.","2604"
"1718985","2","07.29.13","07.29","Aluminium ores and concentrates",,,,,
"1718986","3","07.29.13.00","07.29.13","Aluminium ores and concentrates","kg","DE: Kilogramm; EN: Kilogram; FR: Kilogramme","S","DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden; EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported; FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler.","2606"
"1718987","2","07.29.14","07.29","Precious metal ores and concentrates",,,,,
"1718988","3","07.29.14.00","07.29.14","Precious metal ores and concentrates","kg","DE: Kilogramm; EN: Kilogram; FR: Kilogramme","S","DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden; EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported; FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler.","2616[.10 + .90]"
"1718989","2","07.29.15","07.29","Lead, zinc and tin ores and concentrates",,,,,
"1718990","3","07.29.15.00","07.29.15","Lead, zinc and tin ores and concentrates","kg","DE: Kilogramm; EN: Kilogram; FR: Kilogramme","S","DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden; EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported; FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler.","2607 + 2608 + 2609"
"1718991","2","07.29.19","07.29","Other non-ferrous metal ores and concentrates n.e.c.",,,,,
"1718992","3","07.29.19.00","07.29.19","Other non-ferrous metal ores and concentrates","kg","DE: Kilogramm; EN: Kilogram; FR: Kilogramme","S","DE: Abgesetzte Produktion. Die abgesetzte Produktion muss in Wert und Menge berichtet werden. In bestimmten Fällen ist keine Mengeneinheit angegeben. Dann muss nur der Wert berichtet werden; EN: Production sold. Production sold should be reported by value and volume. In some cases no volume unit is defined for a heading. In these cases only the value should be reported; FR: Production commercialisée. La production commercialisée doit être déclarée en valeur et volume. Dans certains cas, aucune unité de volume n'est définie pour le produit et dans ces cas, seule la valeur est à signaler.","2602 + 2605 + 2610 + 2611 + 2613[.10 + .90] + 2614 + 2615[.10 + .90] + 2617[.10 + .90]"
"1718993","1","08.11",,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,,,
"1718994","2","08.11.11","08.11","Marble and other calcareous ornamental or building stone",,,,,
"1718995","3","08.11.11.33","08.11.11","Marble and travertine, crude or roughly trimmed","kg","DE: Kilogramm; EN: Kilogram; FR: Kilogramme","T","DE: Gesamtproduktion. Die Menge der Gesamtproduktion muss berichtet werden. Außerdem muss auch die abgesezte Produktion in Wert und Menge berichtet werden; EN: Total production. Total production should be reported by volume. In addition the sold production by value and volume should be reported; FR: Production totale. La production totale doit être déclarée en volume. En plus, la production commercialisée doit être déclarée en valeur et volume.","2515 11"
