ID,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
1,H5,2018,2018,2018,2,0,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,1,Animals; live,1,No Quantity,0,,,,0,,708695851,,,4
2,H5,2018,2018,2018,4,0,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,101,"Horses, asses, mules and hinnies; live",5,Number of items,12265,,,,3093667,,455649836,,,6
3,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10121,"Horses; live, pure-bred breeding animals",1,No Quantity,0,,,,1876117,,379750646,,,6
4,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10129,"Horses; live, other than pure-bred breeding animals",5,Number of items,2606,,,,660729,,75430137,,,0
5,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10130,Asses; live,1,No Quantity,0,,,,,,439429,,,6
6,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10190,Mules and hinnies; live,5,Number of items,4,,,,1752,,29623,,,0
7,H5,2018,2018,2018,4,0,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,102,Bovine animals; live,1,No Quantity,0,,,,1056053,,3321470,,,6
8,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10221,"Cattle; live, pure-bred breeding animals",1,No Quantity,0,,,,47091,,288786,,,6
9,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10229,"Cattle; live, other than pure-bred breeding animals",5,Number of items,16459,,,,1008962,,3032683,,,0
10,H5,2018,2018,2018,4,0,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,103,Swine; live,5,Number of items,2774,,,,17291,,258707,,,0
11,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10310,"Swine; live, pure-bred breeding animals",5,Number of items,168,,,,14440,,212176,,,0
12,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,2606,,,,2851,,46530,,,0
13,H5,2018,2018,2018,4,0,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,104,Sheep and goats; live,5,Number of items,245838,,,,5883351,,28567193,,,0
14,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10410,Sheep; live,5,Number of items,245838,,,,5883351,,28567193,,,0
15,H5,2018,2018,2018,4,0,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",5,Number of items,33192814,,,,2812817,,188960782,,,4
16,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",5,Number of items,26670551,,,,2316447,,156730229,,,4
17,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10512,"Poultry; live, turkeys, weighing not more than 185g",5,Number of items,5930113,,,,159627,,28002807,,,0
18,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10513,"Poultry; live, ducks, weighing not more than 185g",5,Number of items,475940,,,,26569,,4086916,,,0
19,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",5,Number of items,114960,,,,285174,,107456,,,0
20,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",5,Number of items,1250,,,,25000,,33371,,,0
21,H5,2018,2018,2018,4,0,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,106,"Animals; live, n.e.c. in chapter 01",1,No Quantity,0,,,,792921,,31937861,,,6
22,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10613,"Mammals; live, camels and other camelids (Camelidae)",5,Number of items,20,,,,1000,,76754,,,0
23,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10614,"Mammals; live, rabbits and hares",1,No Quantity,0,,,,297601,,1110851,,,4
24,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",5,Number of items,18787,,,,12718,,3148702,,,2
25,H5,2018,2018,2018,6,1,2,Export,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10620,Reptiles; live (including snakes and turtles),5,Number of items,14053,,,,9530,,93594,,,0
