ID,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
1,H5,2018,2018,2018,2,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,1,Animals; live,1,No Quantity,0,,,,0,,722492947,,,4
2,H5,2018,2018,2018,4,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,101,"Horses, asses, mules and hinnies; live",1,No Quantity,0,,,,1915896,,532401706,,,6
3,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10121,"Horses; live, pure-bred breeding animals",1,No Quantity,0,,,,1733341,,527372494,,,6
4,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10129,"Horses; live, other than pure-bred breeding animals",5,Number of items,3293,,,,167967,,4944436,,,0
5,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10130,Asses; live,5,Number of items,13885,,,,14588,,84775,,,2
6,H5,2018,2018,2018,4,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,102,Bovine animals; live,5,Number of items,19901,,,,5332395,,21424937,,,6
7,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10221,"Cattle; live, pure-bred breeding animals",5,Number of items,3535,,,,1515181,,4608745,,,0
8,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10229,"Cattle; live, other than pure-bred breeding animals",5,Number of items,16041,,,,3614870,,16164716,,,0
9,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10290,"Bovine animals; live, other than cattle and buffalo",5,Number of items,325,,,,202344,,651475,,,6
10,H5,2018,2018,2018,4,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,103,Swine; live,5,Number of items,564194,,,,44867311,,75791305,,,4
11,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10310,"Swine; live, pure-bred breeding animals",5,Number of items,364,,,,84182,,421383,,,0
12,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",5,Number of items,89937,,,,2058529,,6215051,,,4
13,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",5,Number of items,473893,,,,42724600,,69154870,,,0
14,H5,2018,2018,2018,4,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,104,Sheep and goats; live,5,Number of items,36,,,,3800,,188279,,,0
15,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10410,Sheep; live,5,Number of items,36,,,,3800,,188279,,,0
16,H5,2018,2018,2018,4,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",1,No Quantity,0,,,,3051825,,52251910,,,6
17,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",5,Number of items,52650005,,,,2905923,,51333534,,,0
18,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10512,"Poultry; live, turkeys, weighing not more than 185g",1,No Quantity,0,,,,740,,186069,,,6
19,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10513,"Poultry; live, ducks, weighing not more than 185g",5,Number of items,5910,,,,568,,547604,,,0
20,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",5,Number of items,62417,,,,144594,,184702,,,0
21,H5,2018,2018,2018,4,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,106,"Animals; live, n.e.c. in chapter 01",1,No Quantity,0,,,,1208504,,40434808,,,2
22,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10611,"Mammals; live, primates",5,Number of items,64866,,,,9149,,5845237,,,0
23,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10613,"Mammals; live, camels and other camelids (Camelidae)",5,Number of items,47,,,,2840,,352296,,,0
24,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10614,"Mammals; live, rabbits and hares",1,No Quantity,0,,,,1562,,26376,,,2
25,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",1,No Quantity,0,,,,71976,,8780574,,,2
26,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10620,Reptiles; live (including snakes and turtles),5,Number of items,443442,,,,7540,,962865,,,0
27,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10631,"Birds; live, birds of prey",5,Number of items,241,,,,1368,,264526,,,0
28,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10632,"Birds; live, Psittaciformes",5,Number of items,18,,,,79,,8486,,,0
29,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10633,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",5,Number of items,2,,,,56,,1441,,,0
30,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10639,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",1,No Quantity,0,,,,1362,,38144,,,2
31,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10641,"Insects; live, bees",1,No Quantity,0,,,,189431,,2527079,,,2
32,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10649,"Insects; live, other than bees",1,No Quantity,0,,,,449917,,4605852,,,2
33,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,10690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",1,No Quantity,0,,,,473224,,17021927,,,2
34,H5,2018,2018,2018,2,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,2,Meat and edible meat offal,1,No Quantity,0,,,,0,,5850611149,,,4
35,H5,2018,2018,2018,4,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,201,Meat of bovine animals; fresh or chilled,8,Weight in kilograms,195366910,,,,195366910,,1196445107,,,0
36,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",8,Weight in kilograms,31679041,,,,31679041,,138657140,,,0
37,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",8,Weight in kilograms,14146759,,,,14146759,,82345798,,,0
38,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20130,"Meat; of bovine animals, boneless cuts, fresh or chilled",8,Weight in kilograms,149541110,,,,149541110,,975442168,,,0
39,H5,2018,2018,2018,4,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,202,Meat of bovine animals; frozen,8,Weight in kilograms,94596935,,,,94596935,,363087300,,,0
40,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20210,"Meat; of bovine animals, carcasses and half-carcasses, frozen",8,Weight in kilograms,498281,,,,498281,,491802,,,0
41,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",8,Weight in kilograms,3825677,,,,3825677,,12681906,,,0
42,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20230,"Meat; of bovine animals, boneless cuts, frozen",8,Weight in kilograms,90272977,,,,90272977,,349913591,,,0
43,H5,2018,2018,2018,4,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,203,"Meat of swine; fresh, chilled or frozen",8,Weight in kilograms,457790124,,,,457790124,,1140434412,,,0
44,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20311,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",8,Weight in kilograms,16077907,,,,16077907,,32429275,,,0
45,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20312,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",8,Weight in kilograms,124693237,,,,124693237,,243938096,,,0
46,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20319,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",8,Weight in kilograms,214039331,,,,214039331,,606162856,,,0
47,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20321,"Meat; of swine, carcasses and half-carcasses, frozen",8,Weight in kilograms,968369,,,,968369,,4073991,,,0
48,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20322,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",8,Weight in kilograms,3202084,,,,3202084,,7849053,,,0
49,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",8,Weight in kilograms,98809196,,,,98809196,,245981138,,,0
50,H5,2018,2018,2018,4,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,204,"Meat of sheep or goats; fresh, chilled or frozen",8,Weight in kilograms,77905073,,,,77905073,,499656653,,,6
51,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20410,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",8,Weight in kilograms,1795016,,,,1795016,,5409592,,,0
52,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20421,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",8,Weight in kilograms,242836,,,,242836,,944881,,,0
53,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20422,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",8,Weight in kilograms,20893869,,,,20893869,,163661304,,,0
54,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20423,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled",8,Weight in kilograms,8410883,,,,8410883,,65217067,,,0
55,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20430,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",8,Weight in kilograms,1102036,,,,1102036,,5502729,,,0
56,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20441,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",8,Weight in kilograms,142713,,,,142713,,861293,,,0
57,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20442,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",8,Weight in kilograms,27151445,,,,27151445,,165293189,,,6
58,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20443,"Meat; of sheep (including lamb), boneless cuts, frozen",8,Weight in kilograms,17876429,,,,17876429,,91353699,,,0
59,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20450,"Meat; of goats, fresh, chilled or frozen",8,Weight in kilograms,289846,,,,289846,,1412893,,,0
60,H5,2018,2018,2018,4,0,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen",8,Weight in kilograms,43128622,,,,43128622,,68847086,,,0
61,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20610,"Offal, edible; of bovine animals, fresh or chilled",8,Weight in kilograms,13438096,,,,13438096,,19474187,,,0
62,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20621,"Offal, edible; of bovine animals, tongues, frozen",8,Weight in kilograms,428690,,,,428690,,726965,,,0
63,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20622,"Offal, edible; of bovine animals, livers, frozen",8,Weight in kilograms,402303,,,,402303,,999078,,,0
64,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20629,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",8,Weight in kilograms,4634907,,,,4634907,,7801246,,,0
65,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20630,"Offal, edible; of swine, fresh or chilled",8,Weight in kilograms,2519636,,,,2519636,,5593610,,,0
66,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,,,,,,,,20641,"Offal, edible; of swine, livers, frozen",8,Weight in kilograms,391360,,,,391360,,159593,,,0
